CODVIA;DENOMINAZIONE
25250;MURA DI PORTA GALLIERA
25300;CORTE DE' GALLUZZI
25350;PIAZZA GALVANI
25400;VIALE GINO GAMBERINI
25420;VIA PIETRO GAMBERINI
25430;VIALE M. KARAMCHAND GANDHI
25450;VIA GIOVAN BATTISTA GANDINO
25500;VIA DE' GANDOLFI
25550;VIA ANTONIO GANDUSIO
25600;VICOLO GANGAIOLO
25650;VIA FERRUCCIO GARAVAGLIA
25700;VIA ULISSE GARDINI
25750;VIA DE' GARGIOLARI
25800;VIA GARIBALDI
25850;VIA GAROFALO
25900;VIA GIOVANNI GARZONI
25910;ROTONDA ANTONIO GASBARRINI
